image_path,label
dataset/tomato\Tomato___Target_Spot\c5e4109d-af33-4ec6-8dfc-7ee20c384a83___Com.G_TgS_FL 8258.JPG,6
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\58e1f4fa-eb41-4224-a915-fa5fc4cafd7c___Com.G_SpM_FL 1207.JPG,5
dataset/tomato\Tomato___Early_blight\b45de15f-76b6-46bf-9990-e819dbef21d1___RS_Erly.B 9491.JPG,1
dataset/tomato\Tomato___Late_blight\e6644ce4-5856-4627-b08d-36ac786afaa5___RS_Late.B 6856.JPG,2
dataset/tomato\Tomato___healthy\fd061d12-644d-4ac5-a0b5-2e88469e506b___GH_HL Leaf 414.JPG,9
dataset/tomato\Tomato___Late_blight\64e8fe57-b397-413c-a365-1158b9adb6cb___RS_Late.B 5328.JPG,2
dataset/tomato\Tomato___Leaf_Mold\a538806f-f606-439e-8e1a-5c7731f5b76f___Crnl_L.Mold 7015.JPG,3
dataset/tomato\Tomato___Late_blight\ee90e57e-7289-4dcd-af6f-a585d97628b7___RS_Late.B 7040.JPG,2
dataset/tomato\Tomato___Target_Spot\e74eadf5-2950-42dc-bcbf-d5e86e2c52b7___Com.G_TgS_FL 8382.JPG,6
dataset/tomato\Tomato___Early_blight\34044338-c693-4604-8764-35eaece11e56___RS_Erly.B 9483.JPG,1
dataset/tomato\Tomato___Target_Spot\242cf310-927e-4933-85b6-d4d019ae6db1___Com.G_TgS_FL 0017.JPG,6
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\d0cd0d30-a825-4ddb-9df6-c767b101735c___Com.G_SpM_FL 1630.JPG,5
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\5a2e181b-cfa0-4fe7-ad62-f1389353a362___UF.GRC_YLCV_Lab 02418.JPG,7
dataset/tomato\Tomato___Early_blight\2832ca53-be67-44c0-ac55-eb815bd85fd3___RS_Erly.B 8242.JPG,1
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\94c272c0-153b-4aad-8f26-556248869c78___Com.G_SpM_FL 8585.JPG,5
dataset/tomato\Tomato___healthy\902d49e5-febf-4970-b0fb-99a57e8e284b___GH_HL Leaf 179.JPG,9
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\96dbbbdb-ad02-466d-92cf-fb2d90fe67b4___UF.GRC_YLCV_Lab 02290.JPG,7
dataset/tomato\Tomato___Early_blight\7c1dc810-54ee-4442-86d5-6994d4736d92___RS_Erly.B 6430.JPG,1
dataset/tomato\Tomato___Bacterial_spot\16899432-0c58-4c00-a212-f24faed4d040___GCREC_Bact.Sp 2981.JPG,0
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\3dcda958-8c55-4ef5-a7fa-f166bb69ad38___Com.G_SpM_FL 8582.JPG,5
dataset/tomato\Tomato___healthy\b8b8bef0-e86c-47ae-ba47-7912b10beffe___GH_HL Leaf 302.JPG,9
dataset/tomato\Tomato___Early_blight\815fb4d0-7902-45a2-a7c7-2ee400a2e25a___RS_Erly.B 7646.JPG,1
dataset/tomato\Tomato___Late_blight\781e93a9-2059-42de-8075-658033a6abf7___RS_Late.B 6075.JPG,2
dataset/tomato\Tomato___Late_blight\cf0469e3-6a8c-4d3b-a1d3-43b99619b472___GHLB2 Leaf 8699.JPG,2
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f2e06305-f930-434c-b287-78f14154652d___UF.GRC_YLCV_Lab 01354.JPG,7
dataset/tomato\Tomato___healthy\3e51f746-2ed2-4eb4-96e7-f6717ec068fd___RS_HL 0122.JPG,9
dataset/tomato\Tomato___Leaf_Mold\76b3aadb-a6e5-465d-809b-0aa4d60a1f83___Crnl_L.Mold 6680.JPG,3
dataset/tomato\Tomato___Septoria_leaf_spot\315f5cf5-9c5d-4470-bb71-5b8cfb3ec8c8___Matt.S_CG 6198.JPG,4
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\93050a74-78ea-49c1-8b61-edc7e489252b___YLCV_NREC 2259.JPG,7
dataset/tomato\Tomato___Septoria_leaf_spot\f9817507-b3a3-4072-aad8-1b9afc3dc45a___Matt.S_CG 7628.JPG,4
dataset/tomato\Tomato___Target_Spot\3de056ef-8524-434c-865a-a0ebb5c9b566___Com.G_TgS_FL 8214.JPG,6
dataset/tomato\Tomato___Septoria_leaf_spot\12703385-4e74-4e56-b90a-fede2827fbf2___Matt.S_CG 6039.JPG,4
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\f8505395-0291-442f-a735-f98b806f896e___Com.G_SpM_FL 1271.JPG,5
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\58b58680-5702-4c71-9abf-21e8f9561796___UF.GRC_YLCV_Lab 03181.JPG,7
dataset/tomato\Tomato___Target_Spot\9abdb77e-d5dd-4474-9909-a522106b9790___Com.G_TgS_FL 9968.JPG,6
dataset/tomato\Tomato___Bacterial_spot\17ee90d7-f733-4026-a83e-c5c87ad88e67___GCREC_Bact.Sp 5623.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\e4d799e6-c090-4837-bae9-ef28b6b86155___UF.GRC_YLCV_Lab 02603.JPG,7
dataset/tomato\Tomato___Late_blight\b58ce413-a81c-488f-9207-bab53d34d1c4___GHLB2 Leaf 8744.JPG,2
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\74ed3a98-1778-43eb-bf95-7a3f186bb22b___UF.GRC_YLCV_Lab 03044.JPG,7
dataset/tomato\Tomato___Late_blight\0f575c94-5c7d-4058-9e65-9046572f9370___GHLB2 Leaf 8956.JPG,2
dataset/tomato\Tomato___Late_blight\0dd9d965-d68a-4e47-ba02-ebcadf13c7ae___GHLB2 Leaf 78.1.JPG,2
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\0a5431ac-44ff-4507-a8aa-6eee46235015___UF.GRC_YLCV_Lab 03031.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\11565eea-c48c-4727-b880-7c9a76fb3e35___UF.GRC_YLCV_Lab 01799.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\65a565a3-acc6-4e33-851b-16ea5d07140a___YLCV_GCREC 2442.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\753d6a80-8356-49ba-a90e-80062d4218c5___UF.GRC_YLCV_Lab 08541.JPG,7
dataset/tomato\Tomato___Bacterial_spot\39585b95-2167-4dac-9993-f75aac8d38bc___GCREC_Bact.Sp 3538.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\4c91c53b-4c37-4029-974b-97daae68f9ab___UF.GRC_YLCV_Lab 01360.JPG,7
dataset/tomato\Tomato___Septoria_leaf_spot\057115de-0a9b-4e3a-b98f-7ba3ce174b8f___Keller.St_CG 1800.JPG,4
dataset/tomato\Tomato___Leaf_Mold\15b7a74c-2c9d-41e5-bcc6-799471cd8e43___Crnl_L.Mold 6616.JPG,3
dataset/tomato\Tomato___Late_blight\d56280c8-1442-476c-bdc8-8bb99edad8dd___GHLB2 Leaf 8847.JPG,2
dataset/tomato\Tomato___Leaf_Mold\c661bd24-6fcf-4802-9010-68ef6e2e7fa8___Crnl_L.Mold 6644.JPG,3
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\955a0b0a-915d-4f6b-b433-c365c8a4b9f6___Com.G_SpM_FL 9600.JPG,5
dataset/tomato\Tomato___Leaf_Mold\331752ba-3d14-4e35-9d0a-8f40b2a31653___Crnl_L.Mold 8916.JPG,3
dataset/tomato\Tomato___Septoria_leaf_spot\b70775c5-59bc-4204-af05-a420ef373667___JR_Sept.L.S 2693.JPG,4
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\36c5fe6a-0c04-4d59-bf4b-05e5388e452d___UF.GRC_YLCV_Lab 01974.JPG,7
dataset/tomato\Tomato___Septoria_leaf_spot\699bc438-4477-447e-92a7-038662112f61___Keller.St_CG 2006.JPG,4
dataset/tomato\Tomato___Late_blight\3a7b4305-431f-431b-809f-79ae28306b41___GHLB2 Leaf 8965.JPG,2
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\d82a6309-65c7-48f8-b661-4a944f7930cd___Com.G_SpM_FL 1778.JPG,5
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\330687c3-0288-4ca1-ae5b-4e75abc51fe8___YLCV_NREC 2319.JPG,7
dataset/tomato\Tomato___Late_blight\16441ce5-dcfa-411c-8029-cef10b3f6474___GHLB2 Leaf 8687.JPG,2
dataset/tomato\Tomato___Septoria_leaf_spot\d4293713-6637-424f-96ef-c73c483751c7___Matt.S_CG 0723.JPG,4
dataset/tomato\Tomato___Bacterial_spot\88cb990c-385b-4d79-89f4-f1a8698a2845___GCREC_Bact.Sp 5576.JPG,0
dataset/tomato\Tomato___healthy\a0aac34b-e9c8-4c9e-84b5-8f9ee4cf1502___RS_HL 0622.JPG,9
dataset/tomato\Tomato___Late_blight\98ae3801-450e-493f-aca0-014520cfaf6e___GHLB_PS Leaf 29.1 Day 12.jpg,2
dataset/tomato\Tomato___Septoria_leaf_spot\bf39f9c1-a339-4890-8e9f-16c4b6446193___JR_Sept.L.S 8545.JPG,4
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\50624c1d-fe2f-455c-9138-e827172e6821___YLCV_GCREC 2641.JPG,7
dataset/tomato\Tomato___Bacterial_spot\aec51dd9-6ce4-482c-af62-872f20de45a5___GCREC_Bact.Sp 3773.JPG,0
dataset/tomato\Tomato___healthy\70e2244d-152b-4dc7-b002-5991e1a195db___RS_HL 9948.JPG,9
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\ff8cd40f-304f-4731-9271-0dbdbdd1ed7b___UF.GRC_YLCV_Lab 01657.JPG,7
dataset/tomato\Tomato___Septoria_leaf_spot\dba28341-c2bb-4c7f-a15b-8fac8f38e00b___JR_Sept.L.S 8371.JPG,4
dataset/tomato\Tomato___healthy\33936d1f-7074-49d2-9b3e-3964972fc636___RS_HL 0119.JPG,9
dataset/tomato\Tomato___Late_blight\d69cda61-f13d-4d73-9a4b-ac0e7c386389___GHLB2 Leaf 98.JPG,2
dataset/tomato\Tomato___Tomato_mosaic_virus\e98b0937-0e74-4bc9-bfa5-9018ce0498d2___PSU_CG 2298.JPG,8
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\08ddab1e-8a69-47b2-b0ff-6d53e6315eee___Com.G_SpM_FL 1445.JPG,5
dataset/tomato\Tomato___healthy\8809940a-a097-4488-9e49-3ffdc10d8d9a___GH_HL Leaf 245.JPG,9
dataset/tomato\Tomato___Late_blight\89996998-a74f-46f5-8e5f-790a66dbd652___GHLB2 Leaf 8826.JPG,2
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\44ae864d-be5f-4a76-a377-0b69c2448f10___YLCV_NREC 2811.JPG,7
dataset/tomato\Tomato___healthy\eacb7fe2-5c0a-4058-a7d7-a2270faee988___RS_HL 9654.JPG,9
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\6a477475-7b28-4f6f-89ae-2bdfc7b06bc3___UF.GRC_YLCV_Lab 09330.JPG,7
dataset/tomato\Tomato___Late_blight\2bf70a8f-ba33-4405-89d2-8135dbea2b9d___GHLB2 Leaf 9064.JPG,2
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\d8da67f2-2a7e-4b78-9069-169cd2867d82___UF.GRC_YLCV_Lab 01424.JPG,7
dataset/tomato\Tomato___Target_Spot\a1002a3f-916c-4c96-bdd6-8f5c26276d81___Com.G_TgS_FL 1106.JPG,6
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\a3cbf151-7473-40c5-b40f-fa27fe490b21___Com.G_SpM_FL 8722.JPG,5
dataset/tomato\Tomato___healthy\90af034e-dedd-4edf-afb7-9449c4508535___RS_HL 9675.JPG,9
dataset/tomato\Tomato___Target_Spot\a53a22ed-dd38-42bd-9626-4f2824531072___Com.G_TgS_FL 9851.JPG,6
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1ee4066c-c130-42e8-a95b-17453919f4fb___YLCV_GCREC 2202.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\e0ff2b2a-a547-411b-bef9-b0563eeec249___YLCV_GCREC 2453.JPG,7
dataset/tomato\Tomato___Early_blight\38b7f839-7d01-4062-a858-a64b841b7996___RS_Erly.B 7390.JPG,1
dataset/tomato\Tomato___Bacterial_spot\a7c5d9df-0031-4f8d-8ba3-629353956a97___GCREC_Bact.Sp 5991.JPG,0
dataset/tomato\Tomato___Leaf_Mold\ff01be71-2cc9-4e83-b907-81c21d31983b___Crnl_L.Mold 9117.JPG,3
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\33e0bed5-9b9e-46ba-9f85-42f86d6f06eb___Com.G_SpM_FL 9453.JPG,5
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\369091e5-7d21-4922-81c4-f26df636a401___YLCV_NREC 2503.JPG,7
dataset/tomato\Tomato___Septoria_leaf_spot\68cf01d5-6039-4114-a073-07437f37cbe3___Matt.S_CG 1283.JPG,4
dataset/tomato\Tomato___Bacterial_spot\227f113b-8511-4d2f-a591-8e5d01e896dd___GCREC_Bact.Sp 6384.JPG,0
dataset/tomato\Tomato___Late_blight\ad21ff2c-af70-45c3-9971-c52283394742___GHLB2 Leaf 8596.JPG,2
dataset/tomato\Tomato___Early_blight\1e503089-ae6a-4340-8c3c-f44cbaa6cf6f___RS_Erly.B 8264.JPG,1
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\264d6808-962e-4aa0-9ad6-e2cbcf83fc0c___YLCV_NREC 2894.JPG,7
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\9516b526-c6c6-45a8-9684-5d425d0aa916___Com.G_SpM_FL 9336.JPG,5
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\d09318c5-8be1-437c-a82f-cf20e6e7514a___YLCV_NREC 2576.JPG,7
dataset/tomato\Tomato___Late_blight\03ccfc6a-8142-4f46-8eb5-f7fc77978081___RS_Late.B 4916.JPG,2
dataset/tomato\Tomato___Septoria_leaf_spot\657bb6c3-e9e8-41ce-b3ef-265168eae5d6___Matt.S_CG 6685.JPG,4
dataset/tomato\Tomato___Late_blight\079f7695-a60e-4a35-a1f3-fbe71cf19126___GHLB2 Leaf 8783.JPG,2
dataset/tomato\Tomato___healthy\da5c938a-1baf-46cb-b1e6-c3bfef99b816___RS_HL 9981.JPG,9
dataset/tomato\Tomato___Late_blight\26deb2c1-3321-46e1-b900-c27853632d65___RS_Late.B 5561.JPG,2
